35000 100000
1 2 8865
2 3 4901
1 4 673
3 5 9133
1 6 4744
6 7 7867
7 8 3393
2 9 2633
2 10 8187
7 11 2039
11 12 3945
2 13 1703
1 14 6683
13 15 813
9 16 7020
14 17 6673
12 18 6143
13 19 1806
10 20 5010
8 21 3774
16 22 2025
13 23 8839
8 24 8469
8 25 9077
21 26 6893
6 27 7033
26 28 676
26 29 3922
9 30 1378
2 31 4272
22 32 6203
5 33 7352
15 34 563
25 35 2634
2 36 7691
28 37 360
10 38 2272
35 39 7706
9 40 1842
5 41 4906
2 42 5654
19 43 2064
4 44 262
36 45 1037
42 46 5720
36 47 758
45 48 8020
45 49 8712
13 50 1580
2 51 9773
42 52 8862
44 53 9288
24 54 2935
53 55 2157
25 56 2509
24 57 7010
44 58 4320
6 59 188
31 60 5312
11 61 1266
9 62 8386
26 63 4765
51 64 9736
28 65 8417
50 66 4628
1 67 8904
17 68 6633
31 69 3298
1 70 8932
32 71 3488
9 72 4369
21 73 7567
44 74 5426
24 75 7365
55 76 3256
6 77 4780
71 78 5168
72 79 9502
34 80 9784
68 81 50
29 82 2899
82 83 1271
52 84 5762
7 85 8796
77 86 4930
33 87 2116
65 88 2563
67 89 9953
28 90 6467
16 91 7198
53 92 5745
47 93 898
88 94 7210
39 95 2716
36 96 9622
13 97 8296
83 98 3395
5 99 5268
90 100 8813
35 101 793
26 102 1976
30 103 1894
38 104 1553
68 105 3864
105 106 7362
6 107 3899
80 108 9922
84 109 117
105 110 9424
58 111 963
12 112 3812
23 113 4621
13 114 1827
30 115 7898
72 116 4078
3 117 7526
31 118 2985
12 119 677
65 120 1068
94 121 9877
63 122 1354
70 123 3775
109 124 605
97 125 9932
67 126 4396
14 127 1701
84 128 3650
20 129 2534
122 130 7816
95 131 5454
89 132 4799
77 133 3829
74 134 7269
30 135 2822
110 136 3508
84 137 7957
70 138 7801
11 139 6157
5 140 3666
120 141 9748
103 142 8650
45 143 5817
108 144 2147
1 145 5311
109 146 985
139 147 4851
110 148 1613
32 149 3791
71 150 6635
121 151 5066
67 152 5985
15 153 9535
131 154 2411
113 155 1254
93 156 3781
73 157 7818
120 158 7239
71 159 7790
15 160 2855
146 161 5530
40 162 8099
3 163 820
110 164 7452
162 165 6551
144 166 6848
15 167 8261
19 168 1044
17 169 1576
110 170 1606
74 171 4424
139 172 5892
97 173 6054
135 174 7101
113 175 8721
12 176 8106
144 177 5687
118 178 3212
156 179 1941
132 180 510
99 181 8890
58 182 6056
69 183 9415
154 184 1258
88 185 5445
160 186 1246
115 187 2668
33 188 2440
158 189 3548
113 190 2026
158 191 7533
160 192 3060
70 193 6128
126 194 6678
170 195 2014
122 196 4811
111 197 4937
73 198 2836
105 199 3980
84 200 5229
79 201 3084
81 202 5242
187 203 5264
13 204 2861
48 205 7642
185 206 2858
203 207 7308
184 208 4326
64 209 1950
139 210 4066
167 211 5225
17 212 1465
206 213 9935
120 214 5933
56 215 3453
172 216 2765
3 217 5340
216 218 8292
58 219 5030
69 220 8973
61 221 3429
53 222 2006
70 223 5816
128 224 9987
131 225 361
37 226 759
196 227 1428
31 228 2771
101 229 1349
55 230 1102
17 231 3934
225 232 1022
164 233 8542
73 234 3081
137 235 7244
88 236 1536
133 237 4239
226 238 9744
63 239 2135
11 240 7008
98 241 797
164 242 6199
173 243 1001
40 244 4926
65 245 6873
203 246 9961
66 247 786
16 248 683
238 249 8717
163 250 9226
247 251 3249
211 252 1107
229 253 3824
20 254 2718
182 255 3199
102 256 2899
88 257 5582
11 258 655
231 259 6124
150 260 1596
111 261 2680
45 262 2030
203 263 5374
117 264 2744
128 265 65
114 266 9984
263 267 6465
74 268 5510
233 269 1314
86 270 3815
194 271 6873
240 272 8207
263 273 3396
241 274 6417
216 275 4350
198 276 8762
40 277 7848
143 278 7074
167 279 3350
161 280 2798
273 281 3525
101 282 8806
159 283 1119
198 284 4157
14 285 3753
182 286 6087
145 287 7500
141 288 4864
94 289 4647
111 290 8835
144 291 2722
169 292 3798
58 293 5852
163 294 7446
148 295 6879
258 296 1559
167 297 7434
293 298 3211
130 299 742
80 300 7448
167 301 5590
236 302 206
238 303 692
245 304 9681
18 305 1018
206 306 2827
156 307 4390
261 308 6
181 309 5886
298 310 48
126 311 8158
5 312 9714
177 313 3728
228 314 1586
290 315 8291
224 316 4963
241 317 1015
173 318 8158
